epoch,train_loss,train_char_acc,train_sequence_acc,val_loss,val_char_acc,val_sequence_acc
1,0.6307897670776583,0.6881149945452307,0.00495147705078125,0.38963472028262913,0.8101931363344193,0.01251220703125
2,0.27630131764453836,0.8714071948779747,0.123443603515625,0.14395221322774887,0.9434919962659478,0.36920166015625
3,0.13561388215020997,0.9432310696574859,0.41534423828125,0.06274636162561364,0.9792889631353319,0.68865966796875
4,0.06611699333734578,0.9753427437390201,0.6753463745117188,0.015884578562690876,0.995987004134804,0.919921875
5,0.028664988499031097,0.9899663332034834,0.8354949951171875,0.007602501817018492,0.9978010077029467,0.95404052734375
6,0.015535944600458151,0.9948869862710126,0.910797119140625,0.029950569456559606,0.9899122351780534,0.85614013671875
7,0.00690094980154754,0.9977806265815161,0.9573745727539062,0.0008380869209076991,0.9997591390274465,0.99444580078125
8,0.003420433881593965,0.9989783485070802,0.9803314208984375,0.00026384804061763134,0.9999732682481408,0.9993896484375
9,0.0016449854251874285,0.9995175622170791,0.9899749755859375,0.0007372658138251609,0.9997507152147591,0.99432373046875
10,0.0004960153260942235,0.9998507414129563,0.9968338012695312,0.0001467456857255911,0.9999737958423793,0.9993896484375
11,2.844948306268691e-05,0.9999993235687725,0.9999847412109375,6.171125832565849e-05,0.9999893964268267,0.999755859375
12,3.2304409741001905e-05,0.9999959141132422,0.999908447265625,4.40119662385996e-05,0.999994704965502,0.9998779296875
13,0.00012803741222544573,0.999965016846545,0.999237060546875,2.1153752896907463e-05,1.0,1.0
14,1.6555747756719086e-05,0.9999996516271494,0.9999923706054688,1.4655628916671049e-05,1.0,1.0
15,1.5307291259425426e-05,1.0,1.0,1.4082041552399005e-05,1.0,1.0
