epoch,train_loss,train_kl_loss,train_ce_loss,train_char_acc,train_sequence_acc,val_loss,val_kl_loss,val_ce_loss,val_char_acc,val_sequence_acc
1,0.004670959532177221,0.004715048882189876,0.00030610846982792594,0.9999224666971713,0.9983901977539062,0.003940024076655391,0.003978615453888779,0.00011947673271350823,0.9999548043124378,0.99896240234375
2,0.004575833439503185,0.0046190345624381735,0.0002989183373740545,0.9999237992451526,0.9984283447265625,0.0039019800988171482,0.003940164995583473,0.00012167175884769676,0.99996009003371,0.99908447265625
3,0.0045258270949943835,0.004568554454408513,0.0002958139618476352,0.9999245661892928,0.9984359741210938,0.0038743986806366593,0.00391226514329901,0.0001256133801277315,0.999954697676003,0.99896240234375
4,0.004485424704625984,0.0045277791132321,0.000292333966569025,0.9999248749227263,0.998443603515625,0.003853583677482675,0.0038911984775040764,0.00012971544522599743,0.999954697676003,0.99896240234375
5,0.0044532724848522776,0.004495325812513329,0.0002899887269620649,0.999926942109596,0.9984893798828125,0.003835337112832349,0.0038727370392734883,0.00013274042262167995,0.999954697676003,0.99896240234375
6,0.0044270745879657625,0.0044688784769277845,0.00028848499856604093,0.99992728268262,0.9984970092773438,0.0038194279513845686,0.003856644001643872,0.00013503629772770864,0.9999574427492917,0.9990234375
7,0.004402566809176278,0.004444138452072366,0.0002869701854075757,0.9999286685488187,0.9985275268554688,0.0038052713025535922,0.0038423268542828737,0.00013676887442670704,0.999954828992486,0.99896240234375
8,0.0043820506091378775,0.004423420598186567,0.00028641779691263025,0.9999279570183717,0.998504638671875,0.0037922603187325876,0.0038291691471386002,0.00013828337903731835,0.999954828992486,0.99896240234375
9,0.004363283681868779,0.004404469565542968,0.0002858767848454846,0.9999289577826858,0.9985198974609375,0.003779988895985298,0.0038167603906913428,0.00013960806805357606,0.9999522045254707,0.9989013671875
10,0.004343232341852854,0.004384234645158358,0.00028400063875722026,0.999928287405055,0.998504638671875,0.00376743009655911,0.0038040661074774107,0.000140461162793315,0.999954913277179,0.99896240234375
11,0.004323052500922131,0.004363873003512708,0.00028181839977214906,0.9999286419479176,0.9985122680664062,0.0037554151440417627,0.003791922454183805,0.00014118736591228753,0.999954913277179,0.99896240234375
12,0.00430381393607604,0.004344461596474503,0.00027969100908098454,0.9999296870664693,0.99853515625,0.003744276600627927,0.003780663848374388,0.00014193553228381006,0.9999523279257119,0.9989013671875
13,0.004286621992605433,0.00432711042117262,0.00027826351359738766,0.9999300155905075,0.9985427856445312,0.0037341334573284257,0.0037704093683714746,0.00014281427029771976,0.9999497728422284,0.99884033203125
14,0.00426942124136076,0.00430975316680815,0.00027655687248362426,0.9999299713526852,0.99853515625,0.003724968726601219,0.003761142783332616,0.00014373257560862385,0.9999524247832596,0.9989013671875
15,0.004252601135021905,0.004292780981359101,0.0002747920339860599,0.9999303054064512,0.9985427856445312,0.0037157623901293846,0.0037518362478294875,0.0001444464483029151,0.9999550404027104,0.99896240234375
16,0.0042368261022147635,0.004276861552625633,0.00027331279986775314,0.9999302945216186,0.9985427856445312,0.0037051385716040386,0.003741104530490702,0.00014450577256042152,0.9999524494633079,0.9989013671875
17,0.004222801494279338,0.004262703719859928,0.0002724765805961482,0.9999313353910111,0.9985580444335938,0.0036938079338142416,0.003729661159013631,0.00014433512064471188,0.9999524494633079,0.9989013671875
18,0.004209179357530957,0.0042489526490498974,0.00027161930955443836,0.9999323779484257,0.9985809326171875,0.003682582102555898,0.0037183246095082723,0.0001440710199460682,0.9999551973305643,0.99896240234375
19,0.004196218028255316,0.004235867511624747,0.0002709149111481679,0.9999320281203836,0.9985733032226562,0.003671261656563729,0.003706895233335672,0.00014353446827186644,0.9999524904415011,0.9989013671875
