epoch,train_loss,train_kl_loss,train_ce_loss,train_char_acc,train_sequence_acc,val_loss,val_kl_loss,val_ce_loss,val_char_acc,val_sequence_acc
1,7.5353205050341785,7.590240782126784,2.0982056087232195,0.2606098321343211,0.0,4.420703411102295,4.45613444969058,0.913026153575629,0.49426573934033513,0.0
2,3.8301676919218153,3.859977181535214,0.8790248300065286,0.5293819184298627,0.0,3.316137943416834,3.341263322159648,0.8287229584529996,0.5831096596084535,0.0
3,2.878420995082706,2.900503216078505,0.6922784178168513,0.6299524556379765,0.00011444091796875,2.5369193386286497,2.5565533563494682,0.5931496238335967,0.6818754128180444,0.0003662109375
4,2.3263846288900822,2.344329451676458,0.5498449602164328,0.721649898274336,0.002197265625,2.1656868550926447,2.182316266000271,0.5193743598647416,0.7440726086497307,0.00189208984375
5,2.057310705538839,2.07303921203129,0.500186734192539,0.7592161198263057,0.00557708740234375,1.9785997327417135,1.9936149325221777,0.4920937402639538,0.7657854622229934,0.00323486328125
6,1.8885911757824942,1.902834112290293,0.4785388285527006,0.7762309029349126,0.0087127685546875,1.837209515273571,1.8509498508647084,0.47691472549922764,0.7789069940336049,0.0059814453125
7,1.761011061957106,1.7741131179500371,0.4639059876499232,0.7885215186397545,0.012115478515625,1.711840882897377,1.7245030952617526,0.4582797365728766,0.7914418084546924,0.0086669921875
8,1.6406446819892153,1.6527034040773287,0.4468295298574958,0.8010921677341685,0.0159759521484375,1.6137742595747113,1.625527871772647,0.45016471669077873,0.8025496862828732,0.012451171875
9,1.5331036732532084,1.544256467372179,0.4289755472855177,0.8136824092362076,0.0211029052734375,1.4884843518957496,1.4992808615788817,0.41962830326519907,0.8179017114453018,0.01715087890625
10,1.4412451310781762,1.4516216299962252,0.4139704885019455,0.8246010162984021,0.027252197265625,1.4251592252403498,1.4353808965533972,0.41321236710064113,0.8250342407263815,0.02276611328125
11,1.3773115957155824,1.3871526087168604,0.40305001827073283,0.832031472644303,0.03318023681640625,1.3814992355182767,1.3913307934999466,0.4081735434010625,0.8295317497104406,0.026123046875
12,1.3221763595938683,1.3315762885613367,0.3915822584822308,0.8386752658407204,0.038848876953125,1.3336781486868858,1.3430643128231168,0.40444661607034504,0.8359039868228137,0.0313720703125
13,1.2709993830649182,1.2799988171318546,0.38005420824629255,0.844805148022715,0.04718017578125,1.2588088922202587,1.2677254118025303,0.376071636332199,0.8452117214910686,0.0380859375
14,1.2155263108434156,1.2241193688241765,0.3648124075261876,0.8518550888984464,0.05582427978515625,1.2191329021006823,1.2277429895475507,0.3667335594072938,0.8497804878279567,0.04388427734375
15,1.1675629920791835,1.1758002946153283,0.35206900545745157,0.8578006251482293,0.0659027099609375,1.1834795661270618,1.1917610159143806,0.36361559154465795,0.8554719011299312,0.04791259765625
16,1.1210020045982674,1.1288977611111477,0.33932091158931144,0.8638805458322167,0.0763092041015625,1.1279353816062212,1.1358730951324105,0.3421003802213818,0.8628251883201301,0.05792236328125
